[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 689.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 714.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 737.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 760.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 785.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 808.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 831.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 532.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 580.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 603.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 626.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 651.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 674.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 699.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 722.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 745.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 770.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 793.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 138.0 }) bounds=Rectangle { x: 816.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 638.0, y: 99.0 }) bounds=Rectangle { x: 532.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 638.0, y: 99.0 }) bounds=Rectangle { x: 580.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 638.0, y: 99.0 }) bounds=Rectangle { x: 603.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT PRESS CAPTURED! bounds=Rectangle { x: 626.6411, y: 85.1, width: 22.0, height: 22.0 }
